id,date,code_speaker,gender,title_original,title_language,title_english,abstract_original,abstract_language,audience_n,audience_female,audience_male,audience_NA,department,institute,university,country,position,position_cat,origin,total_citation_n,h_index,i10_index,most_cited_n,citation_cum,years_career,nature_index_count,nature_index_share,obs
1,29-04-2008,21,F,Facilitação e competição entre plantas: um estudo experimental em um gradiente de restinga,port,Facilitation and competition among plants: an experimental study in a restinga gradient,NA,NA,9,5,4,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
2,06-05-2008,152,F,Carbono em solos de cerrado: efeitos do uso florestal (cerradão versus plantios de Eucalyptus e Pinus),port,Carbon in cerrado soils: effects of forest use (cerradão versus Eucalyptus and Pinus plantations),NA,NA,18,11,7,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
3,20-05-2008,56,M,Movimentos remanescente-matriz por aves em mosaicos de vegetação: uma revisão,port,Remnant-matrix movements by birds in vegetation mosaics: a review,NA,NA,17,11,6,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
4,03-06-2008,24,F,Estratégias de acasalamento do opilião Promitobates ornatus: sexo e violência em uma espécie sem cuidado parental,port,Mating strategies of the opilion Promitobates ornatus: sex and violence in a species without parental care,NA,NA,20,11,9,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
5,10-06-2008,219,F,Diversidade e padrões de distribuição da anurofauna do Cerrado,port,Diversity and distribution patterns of Cerrado anurofauna,NA,NA,22,13,9,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
6,24-06-2008,40,F,Movimento de aves de florestas em paisagens fragmentadas: uma abordagem genética e ecológica,port,Movement of forest birds in fragmented landscapes: a genetic and ecological approach,NA,NA,25,15,10,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
7,12-08-2008,108,M,Ser pai é padecer no paraíso? Vantagens e desvantagens do cuidado parental,port,Is Being a father a sin in paradise? Advantages and Disadvantages of Parental Care,NA,NA,19,12,7,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
8,26-08-2008,216,F,Tempo de latência na resposta de aves e de pequenos mamíferos a mudanças na estrutura de uma paisagem da Mata Atlântica,port,Latency time in the response of birds and small mammals to changes in the structure of an Atlantic Forest landscape,NA,NA,20,11,9,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
9,30-09-2008,269,F,Existe risco de predação para Pyriglena leucoptera em uma matriz aberta de pasto na região de São Paulo?,port,Is there predation risk for Pyriglena leucoptera in an open grassland matrix in the São Paulo region?,NA,NA,11,8,3,0,Ecologia,IB,USP,Brasil,undergrad_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
14,09-10-2008,277,F,Distribuição geográfica de Peponapis (Hymenoptera: Apidae) através de modelagem computacional,port,Geographical distribution of Peponapis (Hymenoptera: Apidae) through computer modeling,NA,NA,10,6,4,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
10,21-10-2008,56,M,Veredas e seu uso por aves no cerrado,port,Veredas and their use by birds in the cerrado,NA,NA,9,5,4,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
11,04-11-2008,71,F,É possível controlar a invasão de gramíneas exóticas nos cerrados?,port,Is it possible to control the invasion of exotic grasses in the cerrados?,NA,NA,9,7,2,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
12,18-11-2008,268,F,Restauração de processos ecológicos: o uso de redes de interação planta-polinizador como ferramenta de avaliação de áreas florestais restauradas,port,Restoration of ecological processes: the use of plant-pollinator interaction networks as a tool to evaluate restored forest areas,NA,NA,14,11,3,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
13,25-11-2008,104,M,"Conservação da biodiversidade nas ilhas do golfo da Califórnia, México",port,"Biodiversity Conservation in the Gulf of California Islands, Mexico",NA,NA,11,8,3,0,-,-,Cibnor,México,researcher,professor,AmLat,NA,NA,NA,NA,NA,NA,NA,NA,no google scholar profile
32,01-02-2009,13,F,Hábitos alimentares de Pontoporia blainvillei na costa do estado de São Paulo,port,Food habits of Pontoporia blainvillei on the coast of São Paulo state,NA,NA,13,8,5,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
15,10-03-2009,138,F,Leguminosas fixadoras de nitrogênio facilitam o desempenho de juvenis arbóreos em uma floresta de restinga?,port,Do nitrogen-fixing legumes facilitate the performance of juvenile trees in a restinga forest?,NA,NA,10,5,5,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
16,24-03-2009,35,F,"A etnoecologia dos jardins-quintais e seu papel nos sistemas agrícolas tradicionais de populações quilombolas do Vale do Ribeira, São Paulo",port,"The ethno-ecology of gardens-backyards and their role in the traditional farming systems of quilombola populations in Vale do Ribeira, São Paulo",NA,NA,14,11,3,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
17,14-04-2009,4,M,Mecanismos econômicos para conservação de ecossistemas brasileiros,port,Economic Mechanisms for the Conservation of Brazilian Ecosystems,NA,NA,17,11,6,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
18,28-04-2009,164,F,"Memória social e paisagem: o papel da agricultura de coivara na formação de uma área de Mata Atlântica habitata por populações quilombolas no Vale do Ribeira, São Paulo",port,"Social memory and landscape: the role of coivara agriculture in the formation of an Atlantic Forest area inhabited by quilombola populations in Vale do Ribeira, São Paulo",NA,NA,13,8,5,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
19,05-05-2009,182,F,Custos e benefícios associados ao cuidado maternal do opilião Neosadocus maximus,port,Costs and benefits associated with maternal care of the opilion Neosadocus maximus,NA,NA,8,5,3,0,-,IP,USP,Brasil,phd_student,student,Brasil,NA,NA,NA,NA,NA,NA,NA,NA,
20,19-05-2009,99,M,O monitoramento biológico entre a ciência e o manejo,port,Biological monitoring between science and management,NA,NA,36,23,13,0,-,-,STRI,Panamá,postdoc,postdoc,AmLat,NA,NA,NA,NA,NA,NA,NA,NA,
21,02-06-2009,39,F,"Diversidade, endemismo e biogeografia de anfíbios em ilhas do estado de São Paulo",port,"Diversity, endemism and biogeography of amphibians on islands in São Paulo state",NA,NA,14,7,7,0,-,-,UNIFESP-Dia,Brasil,professor,professor,Brasil,890,16,22,190,133,5,22,2.81,
22,16-06-2009,249,M,Avaliação do cuidado paternal e dinâmica de oviposição na barata dágua Abedus breviceps (Hemiptera: Belostomatidae),port,Evaluation of parental care and oviposition dynamics in the water cockroach Abedus breviceps (Hemiptera: Belostomatidae),NA,NA,21,12,9,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
23,30-06-2009,47,M,"Reconstruindo parentesco e desfazendo preconceitos: filogenia das subfamílias de Gonyleptidae (Arachnida, Opiliones) usando caracteres comportamentais",port,"Reconstructing kinship and dispelling bias: phylogeny of the subfamilies of Gonyleptidae (Arachnida, Opiliones) using behavioral characters",NA,NA,16,7,9,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
24,11-08-2009,124,M,Considerações sobre métodos estatísticos na pesquisa em ecologia,port,Considerations for statistical methods in ecological research,NA,NA,33,16,17,0,-,ESALQ,USP,Brasil,professor,professor,Brasil,2068,22,35,168,640,13,282,53.64,
25,25-08-2009,18,M,Efeitos da regeneração florestal sobre a estrutura da floresta e a disponibilidade de atrópodes e frutos em uma área de Mata Atlântica: implicações para a recuperação da fauna em áreas secundárias,port,Effects of forest regeneration on forest structure and on the availability of atropods and fruits in an area of Atlantic Forest: implications for fauna recovery in secondary areas,NA,NA,22,12,10,0,Zoologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
26,08-09-2009,79,M,Efeitos da fragmentação de habitats na variabilidade genética de populações do marsupial Marmosops incanus,port,Effects of habitat fragmentation on genetic variability in populations of the marsupial Marmosops incanus,NA,NA,13,8,5,0,Zoologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
27,22-09-2009,181,F,Percepção do risco de predação de Pyriglena leucoptera em diferentes matrizes,port,Perception of predation risk by Pyriglena leucoptera in different matrices,NA,NA,12,6,6,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
28,06-10-2009,23,F,O número de capturas é um bom índice de abundância relativa?,port,Is the number of captures a good index of relative abundance?,NA,NA,21,15,6,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
29,20-10-2009,221,M,A estrutura de redes mutualísticas,port,The structure of mutualistic networks,NA,NA,33,20,13,0,Ecologia,IB,USP,Brasil,professor,professor,IB,10631,55,113,464,527,3,282,53.64,
30,03-11-2009,273,F,"Dinâmica populacional de uma gramínea nativa do cerrado, Echinolaena inflexa, e de uma gramínea invasora, Urochloa decumbens, em diferentes condições de crescimento",port,"Population dynamics of a native cerrado grass, Echinolaena inflexa, and an invasive grass, Urochloa decumbens, under different growing conditions",NA,NA,13,6,7,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
31,17-11-2009,240,M,Ajuste e seleção de modelos de comunidades arbóreas no estado de São Paulo,port,Model adjustment and selection for tree communities in São Paulo state,NA,NA,17,8,9,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
33,02-03-2010,168,M,"Presentes nupciais em aranhas do gênero Paratrechalea (Aranae, Irechaleidade): novos modelos para antigas perguntas",port,"Nuptial gifts in spiders of the genus Paratrechalea (Aranae, Irechalea): new models for old questions",NA,NA,19,10,9,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
34,16-03-2010,217,F,O fitoplâncton como discriminador ambiental em um reservatório urbano eutrofizado,port,Phytoplankton as environmental discriminator in a eutrophicated urban reservoir,NA,NA,13,7,6,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
35,23-03-2010,255,M,Mutualismos como fonte de inovação evolutiva,port,Mutualisms as a source of evolutionary innovation,NA,NA,26,15,11,0,-,FFCLRP,USP,Brasil,professor,professor,Brasil,2859,23,57,80,259,7,282,53.64,
36,30-03-2010,54,F,Demandas conflitantes entre crescimento e sobrevivência em ambientes com diferentes disponibilidades de recursos e sua interação com a microbiota do solo,port,Trade-offs between growth and survival in environments with different resource availability and their interaction with soil microbiota,NA,NA,12,5,7,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
37,06-04-2010,16,M,Estratégia alternativas de acasalamento e a evolução de morfologias alternativas em machos,port,Alternative mating strategies and the evolution of alternative morphologies in males,NA,NA,16,6,10,0,-,-,Univ._Western_Australia,Australia,phd_student,student,Australasia,NA,NA,NA,NA,NA,NA,NA,NA,
38,13-04-2010,253,M,Influência de gradientes ambientais sobre as distribuições de abundância de espécies de aves no sudesde do Brasil,port,Influence of environmental gradients on the abundance distributions of bird species in southeastern Brazil,NA,NA,28,17,11,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
39,15-04-2010,225,M,Disputas territoriais em borboletas: is this ... Sparta?,port,Territorial disputes in butterflies: is this ... Sparta?,NA,NA,15,9,6,0,-,-,UFC,Brasil,professor,professor,Brasil,1095,17,28,93,262,11,13,4.62,
40,18-04-2010,222,M,Efeitos letais e subletais da poluição por nitrogênio inorgânico em larvas de anuros,port,Lethal and sublethal effects of inorganic nitrogen pollution on anuran larvae,NA,NA,13,8,5,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
41,11-05-2010,99,M,Tempo e detecção imperfeita em estimativas de ocorrência de aves neotropicais,port,Time and imperfect detection in neotropical bird occurrence estimates,NA,NA,23,16,8,0,-,-,STRI,Panamá,postdoc,postdoc,AmLat,NA,NA,NA,NA,NA,NA,NA,NA,
42,07-06-2010,67,M,Por que biólogos de campo devia aprender meta-análise?,port,Why should field biologists learn meta-analysis?,NA,NA,18,10,8,0,-,-,Univ._Otago,Nova_Zelândia,phd_student,student,Australasia,NA,NA,NA,NA,NA,NA,NA,NA,
43,16-06-2010,127,M,Dinâmica de uso e ocupação do solo em Mata Atlântica: o que se sabe sobre os padrões de regeneração florestal? ,port,Land use and land cover dynamics in Atlantic Forest: what is known about forest regeneration patterns? ,NA,NA,15,5,10,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
44,30-06-2010,237,F,Facilitação e modelos matemáticos,port,Facilitation and mathematical models,NA,NA,18,8,10,0,-,-,UFRJ,Brasil,master_student,student,Brasil,NA,NA,NA,NA,NA,NA,NA,NA,
45,10-08-2010,219,F,Condicionantes ambientais dos padrões de beta-diversidade em comunidades de anfíbios no Cerrado,port,Environmental drivers of beta-diversity patterns in amphibian communities in the Cerrado,"Foi utilizada a ferramenta de Modelos Generalizados de Dissimilaridade para descrever a relação entre dissimilaridades ambientais e biológicas em comunidades de anuros no Cerrado e definir sub-regiões onde são esperadas faunas mais similares, em função das caracteristias ambientais. Os fatores que mais contribuíram para o modelo foram inclinação do terreno, precipitação anual e temperatura mínima, que estão diretamente relacionados à disponibilidade e à duração de sítios reprodutivos, bem como aos limites de tolerância fisiológica dos anfíbios. As sub-regiões do Cerrado com maior sobreposição com o envelope ambiental da Mata Atlântica apresentaram maior número de espécies exclusivas e refletem os altos valores de endemismo das comunidades deste bioma. Por outro lado, sub-regiões com sobreposição com o envelope ambiental da Amazônia e Caatinga, apresentaram poucas espécies exclusivas e refletem os baixos níveis de endemismo restrito em comunidades de ambos os biomas",port,23,10,13,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
46,17-08-2010,103,M,Should I stay or should I go? Costs and benefits of paternal care in a harvestman species,en,Should I stay or should I go? Costs and benefits of paternal care in a harvestman species,"É esperado  que o comportamento de cuidado parental evolua apenas quando os benefícios em termos de aumento de sobrevivência da prole sejam maiores do que os custos pagos pelos indivíduos parentais por exibirem este comportamento. Nesta apresentação, irei mostrar resultados obtidos com uma espécie de opilião (Iporangaia pustulosa) que apresenta cuidado paternal, na qual quantifiquei os efeitos do cuidado sobre a sobrevivência dos ovos, assim como sobre a condição física dos machos guardiões, a sobrevivência desses adultos e suas oportunidades adicionais de cópula. Este é o primeiro estudo realizado em condições naturais a quantificar de forma completa os custos e os benefícios do cuidado paternal em uma espécie de artrópode. Irei mostrar que a guarda dos ovos pelos machos é essencial para a sobrevivência dos ovos, visto que a predação é relativamente alta na área estudada. Em decorrência disso, os machos permanecem muito tempo associados às suas desovas, restringindo seu forrageamento e, consequentemente, apresentam um decaimento em suas condições físicas ao longo do período de cuidado. Entretanto, não existe um efeito negativo sobre a sobrevivência dos indivíduos parentais que, na verdade, apresentam uma taxa de sobrevivência mais alta do que outros indivíduos na população que não cuidam dos ovos. Finalmente, o cuidado paternal não restringe a aquisição de novas cópulas pelos machos guardiões mas sim aumenta sua atratividade frente a novas parceiras sexuais. Assim, o cuidado paternal em I. pustulosa apresenta custos excepcionalmente baixos em relação aos grandes benefícios usufruídos tanto pela prole quanto pelos machos guardiões.",port,16,9,7,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
47,31-08-2010,149,M,Homogenization of suburban bird assemblages: an Australian perspective,en,Homogenization of suburban bird assemblages: an Australian perspective,"Much of the research on homogenisation of urban bird assemblages has focused on identifying traits of invading species or invaded habitats.  The research has also focused on a relatively small group of commensal or synanthropic bird species common to centres of cities throughout the Northern Hemisphere.  Less attention has been paid to suburban areas within large cities of the south, states of flux in assemblages, and to spatial and temporal disjunctions within cities.  The research reported here was conducted in Melbourne, Australia; a metropolis of approximately four million people covering some 880,000 ha, established in 1835.  It is built on lava flows to the west, sedimentary hills to the east, and sand sheets to the southeast.  Data on bird occurrence were extracted from the Birds Australia Atlas II database, and aggregated into species lists within 1-km2 grid cells.  Patterns of species abundance and distribution were examined using ordination, hierarchical cluster analysis, and guild analysis.  Relationships with environmental and human demographic gradients were also analysed.  Due the effects of strong geographic differences in topography, geography and rainfall, which related strongly to bird assemblages organised by foraging, nest substrate and dispersal guilds, the data were partitioned into eastern and western subsets and re-analysed.  Bird assemblages of recently developed areas of Melbourne in the west appeared to be in a state of flux, in the early stages of converging towards the more established suburban and urban assemblage patterns evident in the older parts of eastern Melbourne.  Urban areas may need to be environmentally partitioned before the pattern of their bird assemblages can be fully understood.",en,15,9,6,0,-,-,Univ._Tasmania,Australia,phd_student,student,Australasia,NA,NA,NA,NA,NA,NA,NA,NA,
48,13-09-2010,204,F,Hunting for livelihoods in tropical forests: examples from the Congo Basin,en,Hunting for livelihoods in tropical forests: examples from the Congo Basin,"The word bushmeat crisis although originating in Africa, is now widely used across tropical areas and tends to be used to describe overhunting of wildlife for human consumption in tropical areas. Several studies have documented bushmeat as the main source of dietary protein and one of the most important sources of income for rural people in Central Africa, where the current annual harvest could exceed two million tonnes. There is evidence illustrating that the scale of hunting, occurring in these regions, poses a threat to many tropical forest species. Local extinctions of hunted species are widespread in West and Central Africa. However, the long-term persistence of the bushmeat trade suggests that the trade can be sustainable. Vulnerable taxa (slow reproducers) support low levels of hunting and are often depleted in hunted areas, but robust taxa (fast reproducers), such as rodents and small antelopes, are resilient to hunting pressure and persist even in agricultural landscapes around the cities. In this lecture, I would like to address the following thematic areas:  1. The extend and the importance of the bushmeat crisis” in Central Africa and the ecological impacts of overharvesting; 2. Challenges in measuring the sustainability of hunting; 3. The economic importance of the  bushmeat sector; 4. Consumption  patterns and nutritional value of bushmeat; 5. Key factors influencing the demand for bushmeat; 6. The dynamics of the bushmeat trade; 7. The determinants of bushmeat consumption; and  8. Recommendations for a sustainable use of wildlife resources. I hope this lecture will motivate a participatory discussion on inter continental comparisons concerning the use of wildlife  resources for food.",en,21,9,12,0,-,-,Univ._Copenhagen,Dinamarca,postdoc,postdoc,Europa,NA,NA,NA,NA,NA,NA,NA,NA,
49,28-09-2010,17,M,Diversificação de curculionídeos (Coleoptera) e sua associação com plantas hospedeiras (Arecaceae),port,Diversification of curculionids (Coleoptera) and their association with host plants (Arecaceae),NA,NA,20,9,6,0,Zoologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
50,05-10-2010,78,F,Water bird communities in artificial wetlands: community structure and management strategies,en,Water bird communities in artificial wetlands: community structure and management strategies,"In the last 30 years, more than 2700 irrigation ponds have been constructed in the southeastern Spain to store the water for agricultural purposes. The ponds are located within a network of wetlands with international importance for waterbids. Several bird species use the ponds both in the breeding and in the wintering season to breed, forage and rest. Therefore, a more detailed knowledge of the processes shaping waterbirds distribution in the ponds can be used to develop management strategies to conceal conservation and agricultural use. Moreover, the system ponds-waterbirds can be used to test some of the theoretical patterns in ecology",en,16,9,7,0,-,-,Univ._Miguel_Hernandez,Espanha,postdoc,postdoc,Europa,NA,NA,NA,NA,NA,NA,NA,NA,
